x	RungeKutta4	SoluciónExacta	Error
4.79	571.414	571.454	0.03967
4.8	578.41	578.45	0.0397528
4.81	585.489	585.529	0.0398356
4.82	592.652	592.692	0.0399184
4.83	599.899	599.939	0.0400012
4.84	607.232	607.272	0.0400841
4.85	614.651	614.691	0.0401669
4.86	622.157	622.198	0.0402497
4.87	629.753	629.793	0.0403325
4.88	637.437	637.478	0.0404153
4.89	645.212	645.253	0.0404981
4.9	653.079	653.12	0.040581
4.91	661.039	661.08	0.0406638
4.92	669.092	669.133	0.0407466
4.93	677.24	677.281	0.0408294
4.94	685.484	685.525	0.0409122
4.95	693.825	693.866	0.0409951
4.96	702.264	702.305	0.0410779
4.97	710.802	710.844	0.0411607
4.98	719.441	719.482	0.0412435
4.99	728.181	728.223	0.0413263
5	737.024	737.066	0.0414091
5.01	745.971	746.013	0.041492
5.02	755.023	755.065	0.0415748
5.03	764.181	764.223	0.0416576
5.04	773.447	773.489	0.0417404
5.05	782.822	782.863	0.0418232
5.06	792.306	792.348	0.0419061
5.07	801.902	801.944	0.0419889
5.08	811.61	811.652	0.0420717
5.09	821.432	821.474	0.0421545
5.1	831.369	831.412	0.0422373
5.11	841.423	841.466	0.0423201
5.12	851.595	851.637	0.042403
5.13	861.885	861.928	0.0424858
5.14	872.296	872.339	0.0425686
5.15	882.83	882.872	0.0426514
5.16	893.486	893.529	0.0427342
5.17	904.267	904.31	0.0428171
5.18	915.174	915.217	0.0428999
5.19	926.209	926.252	0.0429827
5.2	937.373	937.416	0.0430655
5.21	948.667	948.71	0.0431483
5.22	960.093	960.136	0.0432311
5.23	971.653	971.696	0.043314
5.24	983.348	983.391	0.0433968
5.25	995.179	995.223	0.0434796
5.26	1007.15	1007.19	0.0435624
5.27	1019.26	1019.3	0.0436452
5.28	1031.51	1031.55	0.0437281
5.29	1043.9	1043.95	0.0438109
5.3	1056.44	1056.49	0.0438937
5.31	1069.13	1069.17	0.0439765
5.32	1081.96	1082	0.0440593
5.33	1094.94	1094.98	0.0441421
5.34	1108.07	1108.12	0.044225
5.35	1121.36	1121.4	0.0443078
5.36	1134.8	1134.85	0.0443906
5.37	1148.4	1148.44	0.0444734
5.38	1162.16	1162.2	0.0445562
5.39	1176.07	1176.12	0.0446391
5.4	1190.15	1190.19	0.0447219
5.41	1204.39	1204.44	0.0448047
5.42	1218.8	1218.84	0.0448875
5.43	1233.38	1233.42	0.0449703
5.44	1248.12	1248.17	0.0450531
5.45	1263.04	1263.08	0.045136
5.46	1278.13	1278.17	0.0452188
5.47	1293.39	1293.44	0.0453016
5.48	1308.83	1308.88	0.0453844
5.49	1324.46	1324.5	0.0454672
5.5	1340.26	1340.31	0.0455501
5.51	1356.25	1356.29	0.0456329
5.52	1372.42	1372.47	0.0457157
5.53	1388.78	1388.83	0.0457985
5.54	1405.33	1405.38	0.0458813
5.55	1422.07	1422.12	0.0459641
5.56	1439.01	1439.05	0.046047
5.57	1456.14	1456.19	0.0461298
5.58	1473.47	1473.52	0.0462126
5.59	1491.01	1491.05	0.0462954
5.6	1508.74	1508.79	0.0463782
5.61	1526.68	1526.73	0.0464611
5.62	1544.83	1544.88	0.0465439
5.63	1563.19	1563.24	0.0466267
5.64	1581.76	1581.81	0.0467095
5.65	1600.55	1600.6	0.0467923
5.66	1619.55	1619.6	0.0468751
5.67	1638.78	1638.83	0.046958
5.68	1658.23	1658.27	0.0470408
5.69	1677.9	1677.94	0.0471236
5.7	1697.8	1697.84	0.0472064
5.71	1717.93	1717.97	0.0472892
5.72	1738.29	1738.34	0.0473721
5.73	1758.89	1758.93	0.0474549
5.74	1779.72	1779.77	0.0475377
5.75	1800.8	1800.85	0.0476205
5.76	1822.12	1822.17	0.0477033
5.77	1843.68	1843.73	0.0477861
5.78	1865.5	1865.55	0.047869
5.79	1887.57	1887.62	0.0479518
5.8	1909.89	1909.94	0.0480346
5.81	1932.47	1932.52	0.0481174
5.82	1955.31	1955.36	0.0482002
5.83	1978.41	1978.46	0.0482831
5.84	2001.78	2001.83	0.0483659
5.85	2025.42	2025.47	0.0484487
5.86	2049.33	2049.38	0.0485315
5.87	2073.52	2073.57	0.0486143
5.88	2097.99	2098.04	0.0486971
5.89	2122.74	2122.79	0.04878
5.9	2147.77	2147.82	0.0488628
5.91	2173.09	2173.14	0.0489456
5.92	2198.71	2198.76	0.0490284
5.93	2224.62	2224.67	0.0491112
5.94	2250.82	2250.87	0.0491941
5.95	2277.33	2277.38	0.0492769
5.96	2304.15	2304.2	0.0493597
5.97	2331.27	2331.32	0.0494425
5.98	2358.7	2358.75	0.0495253
5.99	2386.45	2386.5	0.0496081
6	2414.52	2414.57	0.049691
6.01	2442.91	2442.96	0.0497738
6.02	2471.63	2471.68	0.0498566
6.03	2500.68	2500.73	0.0499394
6.04	2530.06	2530.11	0.0500222
6.05	2559.78	2559.83	0.0501051
6.06	2589.84	2589.9	0.0501879
6.07	2620.25	2620.3	0.0502707
6.08	2651.01	2651.06	0.0503535
6.09	2682.12	2682.17	0.0504363
6.1	2713.58	2713.63	0.0505191
6.11	2745.41	2745.46	0.050602
6.12	2777.6	2777.65	0.0506848
6.13	2810.16	2810.21	0.0507676
6.14	2843.1	2843.15	0.0508504
6.15	2876.41	2876.46	0.0509332
6.16	2910.11	2910.16	0.0510161
6.17	2944.19	2944.24	0.0510989
6.18	2978.66	2978.71	0.0511817
6.19	3013.53	3013.58	0.0512645
6.2	3048.79	3048.84	0.0513473
6.21	3084.46	3084.51	0.0514301
6.22	3120.54	3120.59	0.051513
6.23	3157.04	3157.09	0.0515958
6.24	3193.95	3194	0.0516786
6.25	3231.28	3231.33	0.0517614
6.26	3269.04	3269.09	0.0518442
6.27	3307.23	3307.28	0.0519271
6.28	3345.86	3345.91	0.0520099
6.29	3384.93	3384.98	0.0520927
6.3	3424.45	3424.5	0.0521755
6.31	3464.42	3464.47	0.0522583
6.32	3504.85	3504.9	0.0523411
6.33	3545.74	3545.79	0.052424
6.34	3587.1	3587.15	0.0525068
6.35	3628.93	3628.98	0.0525896
6.36	3671.23	3671.29	0.0526724
6.37	3714.03	3714.08	0.0527552
6.38	3757.31	3757.36	0.0528381
6.39	3801.08	3801.13	0.0529209
6.4	3845.36	3845.41	0.0530037
6.41	3890.14	3890.19	0.0530865
6.42	3935.43	3935.48	0.0531693
6.43	3981.24	3981.29	0.0532521
6.44	4027.57	4027.62	0.053335
6.45	4074.43	4074.48	0.0534178
6.46	4121.82	4121.87	0.0535006
6.47	4169.76	4169.81	0.0535834
6.48	4218.24	4218.29	0.0536662
6.49	4267.27	4267.33	0.0537491
6.5	4316.87	4316.92	0.0538319
6.51	4367.03	4367.08	0.0539147
6.52	4417.76	4417.81	0.0539975
6.53	4469.07	4469.12	0.0540803
6.54	4520.96	4521.01	0.0541631
6.55	4573.45	4573.5	0.054246
6.56	4626.53	4626.58	0.0543288
6.57	4680.22	4680.27	0.0544116
6.58	4734.51	4734.57	0.0544944
6.59	4789.43	4789.49	0.0545772
6.6	4844.97	4845.03	0.0546601
6.61	4901.15	4901.2	0.0547429
6.62	4957.96	4958.02	0.0548257
6.63	5015.42	5015.48	0.0549085
6.64	5073.54	5073.59	0.0549913
