x	RungeKutta4	SoluciónExacta	Error
9.46	0.100372	0.100763	0.000391215
9.47	0.100275	0.100666	0.00039084
9.48	0.100179	0.10057	0.000390465
9.49	0.100083	0.100473	0.000390091
9.5	0.0999874	0.100377	0.000389718
9.51	0.0998918	0.100281	0.000389345
9.52	0.0997963	0.100185	0.000388973
9.53	0.0997011	0.10009	0.000388602
9.54	0.099606	0.0999942	0.000388231
9.55	0.099511	0.0998989	0.000387861
9.56	0.0994163	0.0998038	0.000387492
9.57	0.0993217	0.0997088	0.000387123
9.58	0.0992273	0.099614	0.000386755
9.59	0.099133	0.0995194	0.000386388
9.6	0.099039	0.099425	0.000386021
9.61	0.0989451	0.0993307	0.000385655
9.62	0.0988513	0.0992366	0.00038529
9.63	0.0987578	0.0991427	0.000384925
9.64	0.0986644	0.0990489	0.000384561
9.65	0.0985712	0.0989554	0.000384198
9.66	0.0984781	0.0988619	0.000383835
9.67	0.0983852	0.0987687	0.000383473
9.68	0.0982925	0.0986756	0.000383112
9.69	0.0981999	0.0985827	0.000382751
9.7	0.0981075	0.0984899	0.000382391
9.71	0.0980153	0.0983973	0.000382031
9.72	0.0979232	0.0983049	0.000381672
9.73	0.0978313	0.0982126	0.000381314
9.74	0.0977396	0.0981205	0.000380957
9.75	0.097648	0.0980286	0.0003806
9.76	0.0975566	0.0979369	0.000380243
9.77	0.0974654	0.0978453	0.000379888
9.78	0.0973743	0.0977538	0.000379533
9.79	0.0972834	0.0976625	0.000379178
9.8	0.0971926	0.0975714	0.000378825
9.81	0.097102	0.0974805	0.000378472
9.82	0.0970116	0.0973897	0.000378119
9.83	0.0969213	0.0972991	0.000377767
9.84	0.0968312	0.0972086	0.000377416
9.85	0.0967412	0.0971183	0.000377065
9.86	0.0966514	0.0970281	0.000376715
9.87	0.0965618	0.0969381	0.000376366
9.88	0.0964723	0.0968483	0.000376017
9.89	0.096383	0.0967586	0.000375669
9.9	0.0962938	0.0966691	0.000375321
9.91	0.0962048	0.0965798	0.000374975
9.92	0.096116	0.0964906	0.000374628
9.93	0.0960273	0.0964015	0.000374283
9.94	0.0959387	0.0963127	0.000373937
9.95	0.0958503	0.0962239	0.000373593
9.96	0.0957621	0.0961354	0.000373249
9.97	0.095674	0.0960469	0.000372906
9.98	0.0955861	0.0959587	0.000372563
9.99	0.0954984	0.0958706	0.000372221
10	0.0954107	0.0957826	0.00037188
